Farmer Name,Reg Date,Reg No.,Aadhar No,Pan No.,Epic No.,Adress,Pin Code,Mobile No.,Email,AC No.,IFSC
Tanmoy Mondal,2019-10-02,ABCDEG2256981HJKIOPL,125841001458,ATGNH8524B,ASDE-895CFGGT,Rajdanja Main Road,700065,9902551750,abcd@gmail.com,1250254159624198,S0000000002
Raja Saha,2019-07-02,ABCDEG2541002NJKPOIK,120025148502,DFFDZ9652B,ASDE-895CFSDT,KL Road,700108,9831705809,,0081059368211475,H0000000074
Lokesh Kr.Jha,2019-10-15,VGHTYU2256881NHJUIKB,001274051290,ARGBN8416Z,POLKUJ-45982LK,LN Road,700045,8240385219,,1250250041567846,UTI000000100
Somenath Chakraborty,2019-10-20,ABCDEG2256981BGHYNH,125854210296,POISF84029B,ASCVGTYU85201,Bidon Street,711250,9563002549,xyz@ymail.com,1589856125364008,S0000000010
Sujit Paul,2019-10-05,AXCDFRG215489BFHGJGD,880052452417,RFSDB0251A,NBTRYFGT-7895M,"Howrah,",700105,9825691470,,1874145009856127,S0000000012
Suvrajit Banerjee,2019-11-01,VXNCMBGH851240GGHRT,154250089413,ATGPM8529X,POLKUJ-45982LK,Ruby Park,711259,7005293045,,0105891456225872,H0000000074
Debasish Adhikary,2019-10-06,BVHGHG45126NBGFRGSV,147800255145,ASDRV7415Z,ASDE-895CFSDT,"Ballyguange,Kolkata",711256,7410580089,asdf@gmail.com,0147892569741320,UTI000000100
Subhijit Sani,2019-10-14,EDFRTTYYHBNN54488HBM,100255236984,POLDF8561Q,ASCVGTYU85201,"Burdwan,Memari",700028,9912854069,,1005289456250014,S0000000010
Sourav Manna,2019-11-05,DDAF567742445BGDDC,158925215550,SDRTS5894W,ASCVGTYU85201,"24Paganas,Basirhat",700049,9871490036,,1458125920001482,S0000000012
Chandan Das,2019-11-14,ETTGG454634565JGEGFW,147892255412,POIUY08569X,POLKUJ-45982LK,"Hoogly,Arambag",700110,9008520052,,0085210253558156,S0000000012
Kalyan Dutta,2019-11-12,ZXDFFVMB85145HGYTUM,148710012594,ASDRT8415Z,ASCVGTYU85201,Midnapore West,700085,9814589202,,1450025367815260,S0000000002
